Local,Nome,Logradouro,Latitude,Longitude
Quick Serve,Teriyaki Boy (month to month),732 Seventh Ave,40.760177,-73.983944
Full Serve,Hourglass Tavern,373 W 46th St,40.760598,-73.989803
Quick Serve,Mama Sbarro's,1606 Broadway,40.760556,-73.984615
Full Serve,Yoshinoya Beef Bowl Restaurant,255 W 42nd St,40.756892,-73.988958
Full Serve,Brooklyn Diner,155 W 43rd St,40.756082,-73.984948
Full Serve,Chevys Fresh Mex,259 W 42nd St,40.756917,-73.989016
Quick Serve,Tasti D-Lite,1588 Broadway,40.759873,-73.984915
Quick Serve,Carve: Unique Sandwiches,768 Eighth Ave,40.760309,-73.987532
Coffee,Starbucks (@ Marriott),1535 Broadway,40.758267,-73.985468
Quick Serve,Ray's Famous Pizza,736 Seventh Ave,40.760273,-73.983875
Consumables,vacant (8th Avenue Pavilion Flea Market),675 Eighth Ave,40.757705,-73.98946
Full Serve,Bond 45,154 West 45th St,40.757408,-73.98423
Café Deli,Pax World,225 W 42nd St,40.756508,-73.988042
Full Serve,Avenue Restaurant @ Sheraton Hilton Hotel,811 Seventh Ave,40.762674,-73.982095
Full Serve,Azalea,224 W 51st St,40.76228,-73.984164
Full Serve,Bella Vita,211 W 43rd St,40.756983,-73.987081
Catering,Bistro Caterers,155 W 51st St,40.761346,-73.981901
Café Deli,CAFÉ @ Times Square,159 W 46th St,40.758066,-73.983829
Quick Serve,Chipotle Mexican grill,854 Eighth Ave,40.763166,-73.985452
Full Serve,Famous Dave's B-B-Q,169 W 47th St,40.758777,-73.983583
Quick Serve,Famous Famiglia Pizza,686 Eighth Ave,40.758163,-73.989099
Quick Serve,Fu Ying,811 Eighth Ave,40.761531,-73.986669
Full Serve,Green Symphony,255 W 43rd St,40.757359,-73.987973
Full Serve,Haru,205 W 43rd St,40.75693,-73.986959
Full Serve,Insieme @ The Michaelangelo,777 Seventh Ave,40.761571,-73.9829
Coffee,Starbucks,684 Eighth Ave,40.758108,-73.989139
Full Serve,Barbetta Restaurant,321 West 46th Street,40.76015,-73.988749
